Vernier Format 2
Sin título.cmbl 20/01/2026 14:57:00 .
Último
Tiempo	Potencial	Corriente	Angulo	Velocidad 1	Aceleración 1	Posición	Velocidad 2	Aceleración 2
2.4	 	 	8.62192650485	3.57792496659	-1.76687652671	0.3661525	0.280688333333	0.737926388889
2.45	 	 	8.79645943005	3.60701378745	2.97891072948	0.3805585	0.310510277778	0.694098611111
2.5	 	 	8.97099235525	3.90759826974	6.91667518383	0.3966795	0.348716666667	0.688805401235
2.55	 	 	9.18043186549	4.37301940361	9.18991266637	0.415373	0.386827777778	0.525880401235
2.6	 	 	9.40732466825	4.88692190558	9.97100137482	0.435953	0.410837777778	0.135188580247
2.65	 	 	9.66912405605	5.41052068118	9.44847996296	0.4573905	0.409885	-0.483799382716
2.7	 	 	9.94837673637	5.89533436229	7.26143157929	0.478485	0.370058888889	-1.25713734568
2.75	 	 	10.2625360017	6.25409648631	2.75266434497	0.4964925	0.282308055556	-1.96653333333
2.8	 	 	10.5941485596	6.19591884458	-2.22475611442	0.508326	0.158446944444	-2.34494490741
2.85	 	 	10.8908545324	5.92442318316	-5.11209092636	0.512442	0.0293455555556	-2.31583225309
2.9	 	 	11.1875605053	5.59474988	-5.97398191501	0.510384	-0.0827963888889	-2.0450316358
2.95	 	 	11.4493598931	5.27477285047	-5.41375277239	0.5033525	-0.1757875	-1.72526882716
3	 	 	11.7111592809	5.04206228354	-4.29868130584	0.492205	-0.2529625	-1.44197623457
3.05	 	 	11.9555053762	4.80935171661	-2.4617761363	0.4776275	-0.318323055556	-1.19324830247
3.1	 	 	12.1823981789	4.77056662212	-0.247793659233	0.459963	-0.372536111111	-0.937639197531
3.15	 	 	12.4267442742	4.8481368111	0.856504169961	0.4398975	-0.4141725	-0.626451388889
3.2	 	 	12.6710903695	4.88692190558	1.43289376861	0.4179455	-0.439325833333	-0.208076080247
3.25	 	 	12.9154364648	4.94509954732	2.74727752629	0.395136	-0.441803055556	0.36957191358
3.3	 	 	13.15978256	5.12932874614	4.40641767942	0.3723265	-0.4090275	1.09987608025
3.35	 	 	13.4215819478	5.43960950205	4.60572997054	0.352604	-0.334710833333	1.88544135802
3.4	 	 	13.7008346282	5.75958653158	1.29822330164	0.337169	-0.218376666667	2.57197067901
3.45	 	 	14.0149938935	5.71110516347	-4.7188531628	0.3287655	-0.0610730555556	2.85801574074
3.5	 	 	14.2942465738	5.20689893512	-9.16836539165	0.330995	0.0964211111111	2.51872098765
3.55	 	 	14.5385926691	4.60572997054	-9.81478363313	0.340599	0.208658333333	1.7751308642
3.6	 	 	14.7480321794	4.11122001581	-7.73547162304	0.353976	0.272113333333	1.03207006173
3.65	 	 	14.9400183971	3.83002808077	-5.00974137147	0.3692395	0.299934444444	0.535302314815
3.7	 	 	15.1320046148	3.59731751383	-1.87461290029	0.384503	0.312606388889	0.330084567901
3.75	 	 	15.2890842475	3.59731751383	2.05776473538	0.400281	0.326612222222	0.285092283951
3.8	 	 	15.4810704652	3.83972435439	5.35449776692	0.417088	0.341666111111	0.247087037037
3.85	 	 	15.6730566829	4.14030883668	8.33879531508	0.434581	0.354052222222	0.135082716049
3.9	 	 	15.8824961931	4.70269270676	10.3803995944	0.4525885	0.361388611111	-0.141646296296
3.95	 	 	16.1442955809	5.26507657685	10.2134082154	0.471282	0.351384444444	-0.671496604938
4	 	 	16.4060949687	5.83715672056	7.39610204626	0.4892895	0.303936111111	-1.38629166667
4.05	 	 	16.7377075266	6.16683002371	1.5136960488	0.503867	0.208848888889	-2.00300354938
4.1	 	 	17.051866792	5.93411945678	-3.3344407623	0.511413	0.0856547222222	-2.24368580247
4.15	 	 	17.3311194723	5.64323124812	-4.58418269583	0.5119275	-0.0312511111111	-2.13295185185
4.2	 	 	17.6103721526	5.4202169548	-4.35254949263	0.5074685	-0.131578611111	-1.88687052469
4.25	 	 	17.8721715404	5.22629148236	-4.05088764661	0.498379	-0.219805833333	-1.60913580247
4.3	 	 	18.1339709282	5.03236600992	-3.98085900378	0.485002	-0.294313055556	-1.29149027778
4.35	 	 	18.3783170235	4.78995916936	-3.22670438872	0.468195	-0.350622222222	-0.942985339506
4.4	 	 	18.6052098263	4.69299643314	-2.05776473538	0.4491585	-0.388066388889	-0.601414506173
4.45	 	 	18.8495559215	4.5863374233	-0.829570076565	0.42875	-0.409122777778	-0.281016512346
4.5	 	 	19.0589954318	4.5863374233	0.818796439207	0.407827	-0.417221388889	0.0760634259259
4.55	 	 	19.3033415271	4.69299643314	1.97157563651	0.3863895	-0.407121944444	0.558592438272
4.6	 	 	19.5302343298	4.78995916936	2.75266434497	0.365981	-0.368248611111	1.18393225309
4.65	 	 	19.7745804251	5.01297346267	2.39713431215	0.3479735	-0.291168888889	1.84563641975
4.7	 	 	20.0363798129	5.12932874614	0.0538681867918	0.3352825	-0.177216666667	2.34213950617
4.75	 	 	20.2981792007	5.03236600992	-2.73111707025	0.32928	-0.0416363888889	2.48473858025
4.8	 	 	20.542525296	4.82874426385	-4.92893909128	0.331338	0.08918	2.22685339506
4.85	 	 	20.7868713913	4.4990709607	-5.8985664535	0.33957	0.190650833333	1.74236589506
4.9	 	 	20.9963109015	4.12091628943	-4.27174721244	0.3517465	0.261251666667	1.27910416667
4.95	 	 	21.1882971192	3.96577591148	-0.420171856959	0.3664955	0.311177222222	0.96299367284
5	 	 	21.3802833369	4.08213119494	3.61994215229	0.383131	0.351956111111	0.772543981481
5.05	 	 	21.5897228472	4.38271567723	6.72813653006	0.4018245	0.387685277778	0.604696296296
5.1	 	 	21.8166156499	4.77056662212	9.36229086409	0.422233	0.415125277778	0.359461882716
5.15	 	 	22.0609617452	5.31355794496	11.5439524291	0.4436705	0.431036666667	-0.0816742283951
5.2	 	 	22.3402144255	5.99229709851	11.6840097147	0.466137	0.421604166667	-0.836009567901
5.25	 	 	22.6543736909	6.70982134656	7.19678975514	0.488089	0.359101944444	-1.79730941358
5.3	 	 	23.0383461263	6.88435427176	-0.576389598654	0.5050675	0.2323825	-2.54026435185
5.35	 	 	23.3699586842	6.50619960049	-5.82853781067	0.512442	0.0785088888889	-2.72626774691
5.4	 	 	23.6841179496	6.1183486556	-7.35300749683	0.5119275	-0.0594533333333	-2.46727098765
5.45	 	 	23.9808239224	5.73049771071	-7.30452612872	0.5054105	-0.172929166667	-2.04614320988
5.5	 	 	24.2600766027	5.3329504922	-5.92550054689	0.4937485	-0.263061944444	-1.61718148148
5.55	 	 	24.504422698	5.10993619889	-3.99701945981	0.4783135	-0.33271	-1.22701898148
5.6	 	 	24.7662220858	4.99358091543	-2.97891072948	0.4597915	-0.384541111111	-0.862740277778
5.65	 	 	25.0105681811	4.79965544298	-1.7938106201	0.4392115	-0.419126944444	-0.489727777778
5.7	 	 	25.2374609838	4.77056662212	0.0107736373595	0.4172595	-0.436181666667	-0.0553140432099
5.75	 	 	25.4818070791	4.8481368111	1.06120327976	0.3946215	-0.42875	0.470407561728
5.8	 	 	25.7261531744	4.89661817921	1.73994243331	0.373184	-0.391686944444	1.06128858025
5.85	 	 	25.9704992697	4.98388464181	2.66108842742	0.354319	-0.324230277778	1.68011774691
5.9	 	 	26.214845365	5.21659520874	2.14395383424	0.3393985	-0.22295	2.24003348765
5.95	 	 	26.4940980453	5.37173558669	-1.66452697181	0.3304805	-0.08918	2.52274382716
6	 	 	26.7733507256	5.10993619889	-6.55575833234	0.3301375	0.0506877777778	2.34055154321
6.05	 	 	27.0176968209	4.57664114967	-8.75358035337	0.3369975	0.160733611111	1.80620200617
6.1	 	 	27.2271363311	4.08213119494	-7.62773524945	0.3479735	0.231620277778	1.23024783951
6.15	 	 	27.4191225488	3.74276161817	-4.60572997054	0.361179	0.275829166667	0.807637962963
6.2	 	 	27.593655474	3.59731751383	-0.921145994108	0.3760995	0.304793611111	0.560445061728
6.25	 	 	27.7681883992	3.68458397643	2.19243520235	0.3918775	0.327088611111	0.43219058642
6.3	 	 	27.9601746169	3.85911690163	4.50876723432	0.408856	0.346811111111	0.337600925926
6.35	 	 	28.1521608347	4.11122001581	7.09444020023	0.426692	0.362627222222	0.19849537037
6.4	 	 	28.3616003449	4.56694487605	9.49696133107	0.4453855	0.371011666667	-0.0585958333333
6.45	 	 	28.6059464402	5.10993619889	10.5581646108	0.4642505	0.365009166667	-0.513600154321
6.5	 	 	28.867745828	5.72080143709	9.21684675976	0.482944	0.330518611111	-1.18705524691
6.55	 	 	29.1819050933	6.2056151182	4.39564404206	0.499408	0.249056111111	-1.8906816358
6.6	 	 	29.5135176512	6.19591884458	-1.27128920824	0.509698	0.127481666667	-2.29158935185
6.65	 	 	29.8102236241	5.95351200403	-4.73501361884	0.5122705	9.52777777781E-005	-2.26157685185
6.7	 	 	30.1069295969	5.67232006898	-6.77661789818	0.5088405	-0.110141111111	-1.95033611111
6.75	 	 	30.3861822772	5.23598775598	-7.47151750777	0.5002655	-0.197225	-1.55392762346
6.8	 	 	30.6305283725	4.81904799023	-6.04401055783	0.4882605	-0.262871388889	-1.19541851852
6.85	 	 	30.8574211753	4.59603369692	-3.88928308623	0.4735115	-0.314607222222	-0.884548302469
6.9	 	 	31.084313978	4.4990709607	-2.88733481194	0.45619	-0.350908055556	-0.593157098765
6.95	 	 	31.3112067808	4.35362685636	-2.75266434497	0.4378395	-0.372917222222	-0.323626851852
7	 	 	31.520646291	4.19848647841	-2.14934065292	0.41846	-0.382921388889	-0.0553140432099
7.05	 	 	31.7300858013	4.08213119494	-0.457879587714	0.3990805	-0.379967777778	0.250633487654
7.1	 	 	31.922072019	4.11122001581	1.95541518048	0.3798725	-0.361198055556	0.629944907407
7.15	 	 	32.1315115292	4.33423430912	3.19977029532	0.3620365	-0.3198475	1.07272191358
7.2	 	 	32.358404332	4.51846350794	2.52103114177	0.3469445	-0.254486944444	1.52169197531
7.25	 	 	32.5852971347	4.64451506503	0.404011400922	0.3356255	-0.165402222222	1.89481033951
7.3	 	 	32.82964323	4.60572997054	-2.6664752461	0.3294515	-0.0561186111111	2.05122469136
7.35	 	 	33.0565360328	4.34393058274	-4.97742045939	0.329966	0.0538319444444	1.8948632716
7.4	 	 	33.265975543	4.02395355321	-5.45146050314	0.335797	0.143107222222	1.51740447531
7.45	 	 	33.4579617607	3.72336907092	-4.12630310811	0.345401	0.206466944444	1.10924506173
7.5	 	 	33.6324946859	3.55853241934	-1.49214877408	0.357406	0.247626944444	0.833627623457
7.55	 	 	33.8070276111	3.55853241934	1.60527196634	0.37044	0.280974166667	0.744913425926
7.6	 	 	33.9815605363	3.72336907092	4.72423998148	0.385189	0.318418333333	0.744172376543
7.65	 	 	34.173546754	4.04334610045	7.66005616153	0.4021675	0.357863333333	0.696586419753
7.7	 	 	34.3829862643	4.46998213983	10.773637358	0.421204	0.392639722222	0.519740277778
7.75	 	 	34.609879067	5.12932874614	13.2192530383	0.4416125	0.418936388889	0.100729783951
7.8	 	 	34.8891317474	5.91472690954	12.6320898022	0.4639075	0.419603333333	-0.679648148148
7.85	 	 	35.2032910127	6.60316233671	7.52538569456	0.486031	0.363294166667	-1.68096466049
7.9	 	 	35.5698101556	6.83587290364	-0.845730532602	0.5033525	0.240766944444	-2.4395345679
7.95	 	 	35.918876006	6.41893313789	-7.28836567268	0.5112415	0.090895	-2.60616481481
8	 	 	36.2155819789	5.8565492678	-8.75896717205	0.5112415	-0.039445	-2.32107253086
8.05	 	 	36.4948346592	5.43960950205	-7.63312206814	0.5060965	-0.143488333333	-1.91418348765
8.1	 	 	36.756634047	5.10023992527	-6.13558647537	0.496321	-0.229238333333	-1.51084089506
8.15	 	 	37.0009801423	4.85783308472	-5.07977001429	0.4824295	-0.295170555556	-1.11263271605
8.2	 	 	37.2453262376	4.5863374233	-3.90544354227	0.465794	-0.338426666667	-0.773285030864
8.25	 	 	37.4547657478	4.42150077172	-1.83151835086	0.447958	-0.366533611111	-0.55351095679
8.3	 	 	37.6816585506	4.39241195085	0.571002779974	0.429093	-0.390353055556	-0.394926388889
8.35	 	 	37.8910980608	4.46028586621	3.26979893815	0.408856	-0.409789722222	-0.143710648148
8.4	 	 	38.1179908636	4.74147780125	5.19289320655	0.38759	-0.414363055556	0.333631018519
8.45	 	 	38.3623369588	5.07115110441	4.93432590996	0.366324	-0.388923888889	1.07896790123
8.5	 	 	38.6241363466	5.38143186032	1.74532925199	0.3466015	-0.313845	1.94800709877
8.55	 	 	38.9208423195	5.30386167134	-2.65570160874	0.332367	-0.183314444444	2.56207237654
8.6	 	 	39.1651884148	4.98388464181	-4.73501361884	0.3273935	-0.0322991666667	2.63210154321
8.65	 	 	39.40953451	4.78026289574	-5.39220549767	0.3301375	0.0999463888889	2.25395462963
8.7	 	 	39.6538806053	4.4118044981	-4.81042908034	0.3390555	0.196843888889	1.75147021605
8.75	 	 	39.845866823	4.16939765754	-1.68068742785	0.350889	0.267444722222	1.37311157407
8.8	 	 	40.0553063333	4.22757529928	1.89616017501	0.365981	0.328708333333	1.10929799383
8.85	 	 	40.2647458435	4.4118044981	4.60034315186	0.38416	0.378824444444	0.852577314815
